n,file,copilot,num_episodes,max_episode_len,max_episode_depth,topic_tool,topic_program,topic_bug,topic_code,topic_domain,topic_technique,finish_type_assimilation,finish_type_trust,finish_type_unnecessary,finish_type_lost_sight,finish_type_gave_up
14,Study-14_annotated.json,False,26,70,2,1,1,2,18,3,1,15,6,0,3,2
12,Study-12_annotated.json,False,36,78,3,1,9,1,19,5,1,24,4,2,3,3
7,Study-07_annotated.json,True,27,42,2,0,1,3,23,0,0,15,5,1,1,5
2,Study-02_annotated.json,True,14,70,3,0,1,1,11,1,0,7,5,0,0,0
10,Study-10_annotated.json,True,18,24,1,1,0,2,15,0,0,16,2,0,0,0
1,Study-01_annotated.json,True,16,26,2,2,1,1,11,1,0,9,4,0,1,2
8,Study-08_annotated.json,False,33,48,2,5,6,3,17,2,0,18,6,0,4,5
13,Study-13_annotated.json,False,34,179,3,3,6,2,19,4,0,16,5,2,6,5
5,Study-05_annotated.json,True,26,40,2,1,1,0,23,1,0,17,7,0,0,2
11,Study-11_annotated.json,False,55,134,3,5,6,0,40,4,0,35,4,1,9,6
9,Study-09_annotated.json,True,17,10,2,1,1,0,15,0,0,5,9,0,0,3
15,Study-15_annotated.json,False,26,24,2,3,6,0,15,2,0,22,0,1,2,0
3,Study-03_annotated.json,True,8,14,1,0,0,0,8,0,0,3,3,0,0,2
